0.005,139.7
0.01,72.9
0.015,68.9
0.02,67.2
0.025,67.6
0.03,66.7
0.035,67.5
0.04,66.5
0.045,71.0
0.05,68.3
0.055,69.8
0.06,68.0
0.065,68.4
0.07,67.2
0.075,67.8
0.08,68.1
0.085,69.7
0.09,67.5
0.095,68.5
0.1,68.0
0.105,68.0
0.11,67.7
0.115,67.9
0.12,67.5
0.125,68.1
0.13,67.6
0.135,71.2
0.14,68.1
0.145,69.8
0.15,67.6
0.155,68.9
0.16,70.2
0.165,67.3
0.17,67.8
0.175,68.6
0.18,68.0
0.185,67.3
0.19,67.8
0.195,67.6
0.2,68.3
0.205,68.9
0.21,67.5
0.215,68.3
0.22,67.6
0.225,67.6
0.23,68.2
0.235,68.4
0.24,68.0
0.245,67.7
0.25,67.8
